GMB377,산촌마을입구(신오리석거실방면),10377,36.30415744,128.2174155
GMB4138,뽕밭(초산방면),14138,36.15563885,128.2193883
GMB4139,뽕밭(작동방면),14139,36.15558072,128.2194093
GMB275,무이리 물골안,10275,36.25980872,128.2199708
GMB4264,작동(말바우방면),14264,36.15684759,128.221652
GMB4265,작동(뽕밭방면),14265,36.15727142,128.2218331
GMB274,무이리(웅곡리방면),10274,36.25442655,128.2225705
GMB273,무이리(가네골방면),10273,36.25464486,128.2226243
GMB8,가네골(백자리방면),10008,36.24659486,128.2227509
GMB272,무이리(송삼2리방면),10272,36.25440011,128.2228143
GMB9,가네골(무이리방면),10009,36.24666059,128.2228269
GMB4100,말바우(제석입구방면),14100,36.15692061,128.2243311
GMB4099,말바우(작동방면),14099,36.15713511,128.2245695
GMB518,신오리 석거실(산촌리방면),10518,36.30344355,128.2274949
GMB517,신오리 석거실(산촌마을입구방면),10517,36.30350822,128.227549
GMB305,백자리(마을회관건너),10305,36.24499652,128.227731
GMB306,백자리(마을회관앞),10306,36.24522603,128.2278938
GMB801,태봉리(태봉1리방면),10801,36.29148507,128.2297561
GMB802,태봉리(산촌마을입구방면),10802,36.29153802,128.229814
GMB661,웅곡리(백자리방면),10661,36.25248468,128.2312326
GMB659,웅곡리(웅곡리곰실방면),10659,36.25223983,128.2312834
GMB4029,공쌍골(의1리방면),14029,36.18348953,128.231507
GMB660,웅곡리(포상2리 하송방면),10660,36.25260701,128.2315404
GMB662,웅곡리곰실,10662,36.26006443,128.2315902
GMB4030,공쌍골(지2동방면),14030,36.18347721,128.2317313
GMB4270,제석입구(진등방면),14270,36.15734361,128.2323582
GMB658,웅곡리(무이리방면),10658,36.25247011,128.2324302
GMB4269,제석입구(말바우방면),14269,36.15770001,128.2325067
GMB799,태봉1리(대원방면),10799,36.28486854,128.2329387
GMB800,태봉1리(태봉리방면),10800,36.28491826,128.2329824
GMB4290,진등(칠산방면),14290,36.15755548,128.2337842
GMB4268,제석1리회관앞,14268,36.151119,128.2340241
GMB194,대원(태봉1리방면),10194,36.28343905,128.2354632
GMB192,대원(선산휴게소밑방면),10192,36.28321702,128.2357451
GMB4289,진등(제석입구방면),14289,36.15798366,128.2365727
GMB4255,의1리(경북과학기술고방면),14255,36.17566978,128.2370355
GMB4256,의1리(공쌍골방면),14256,36.17559753,128.23712
GMB333,봉남리,10333,36.21610108,128.238312
GMB812,포상2리하송(덕촌1리방면),10812,36.25019271,128.2385442
GMB811,포상2리하송(웅곡리방면),10811,36.25025373,128.2390047
GMB4202,아포농공단지입구(경북과학기술고등학교방면),14202,36.1668729,128.2407984
GMB4203,아포농공단지입구(의1리방면),14203,36.16667933,128.2410001
GMB375,산촌리(옥관2리방면),10375,36.30565362,128.2413337
GMB374,산촌리(신오리석거실방면),10374,36.30573888,128.2414006
GMB4308,칠산(경북과학기술고등학교방면),14308,36.15837574,128.2414122
GMB193,대원(선산휴게소밑방면),10193,36.28045974,128.2422815
